scene,seed,episode_id,eligible,status
S1,630100,m6a_v3_formal_s1_seed630100,0,no_eligible_critical_obstacles
S1,630101,m6a_v3_formal_s1_seed630101,0,no_eligible_critical_obstacles
S1,630102,m6a_v3_formal_s1_seed630102,0,no_eligible_critical_obstacles
S1,630103,m6a_v3_formal_s1_seed630103,0,no_eligible_critical_obstacles
S2,630200,m6a_v3_formal_s2_seed630200,1,eligible
S2,630201,m6a_v3_formal_s2_seed630201,1,eligible
S2,630202,m6a_v3_formal_s2_seed630202,1,eligible
S2,630203,m6a_v3_formal_s2_seed630203,1,eligible
S3,630300,m6a_v3_formal_s3_seed630300,1,eligible
S3,630301,m6a_v3_formal_s3_seed630301,1,eligible
S3,630302,m6a_v3_formal_s3_seed630302,1,eligible
S3,630303,m6a_v3_formal_s3_seed630303,1,eligible
S4,630400,m6a_v3_formal_s4_seed630400,1,eligible
S4,630401,m6a_v3_formal_s4_seed630401,0,no_eligible_critical_obstacles
S4,630402,m6a_v3_formal_s4_seed630402,1,eligible
S4,630403,m6a_v3_formal_s4_seed630403,0,no_eligible_critical_obstacles
S5,630500,m6a_v3_formal_s5_seed630500,1,eligible
S5,630501,m6a_v3_formal_s5_seed630501,0,no_eligible_critical_obstacles
S5,630502,m6a_v3_formal_s5_seed630502,1,eligible
S5,630503,m6a_v3_formal_s5_seed630503,1,eligible
S6,630600,m6a_v3_formal_s6_seed630600,1,eligible
S6,630601,m6a_v3_formal_s6_seed630601,1,eligible
S6,630602,m6a_v3_formal_s6_seed630602,1,eligible
S6,630603,m6a_v3_formal_s6_seed630603,1,eligible
S7,630700,m6a_v3_formal_s7_seed630700,0,no_eligible_critical_obstacles
S7,630701,m6a_v3_formal_s7_seed630701,0,no_eligible_critical_obstacles
S7,630702,m6a_v3_formal_s7_seed630702,0,no_eligible_critical_obstacles
S7,630703,m6a_v3_formal_s7_seed630703,0,no_eligible_critical_obstacles
S8,630800,m6a_v3_formal_s8_seed630800,0,no_eligible_critical_obstacles
S8,630801,m6a_v3_formal_s8_seed630801,0,no_eligible_critical_obstacles
S8,630802,m6a_v3_formal_s8_seed630802,0,no_eligible_critical_obstacles
S8,630803,m6a_v3_formal_s8_seed630803,0,no_eligible_critical_obstacles
