scene,reason,count
S1,not_trajectory_critical,8
S1,original_boundary_edges_below_16,8
S2,eligible,4
S2,not_trajectory_critical,24
S2,projected_pixels_below_64,4
S3,eligible,4
S3,not_trajectory_critical,24
S3,original_boundary_edges_below_16,4
S4,eligible,2
S4,not_trajectory_critical,20
S4,original_boundary_edges_below_16,6
S4,projected_pixels_below_64,4
S5,eligible,3
S5,not_trajectory_critical,56
S5,original_boundary_edges_below_16,1
S5,projected_pixels_below_64,4
S6,eligible,4
S6,not_trajectory_critical,24
S6,projected_pixels_below_64,4
S7,not_trajectory_critical,24
S7,original_boundary_edges_below_16,8
S8,not_trajectory_critical,16
