scene,budget,n_snapshots,mean_roi_jaccard,mean_roi_xor_fraction,mean_tile_jaccard,mean_tile_xor_fraction,mean_quality_xor_fraction,identical_reconstruction_fraction,state_defined_episodes,command_defined_episodes,state_absolute_tcobr,command_absolute_tcobr,state_critical_tile_payload_bytes,command_critical_tile_payload_bytes,state_critical_boundary_coverage,command_critical_boundary_coverage,state_critical_region_psnr_db,command_critical_region_psnr_db
S1,severe,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,0,0,,,16439.375,16439.375,0.0,0.0,26.49460860289744,26.49460860289744
S1,low,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,0,0,,,16741.125,16741.125,0.0,0.0,36.056509137957356,36.056509137957356
S1,medium,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,0,0,,,17103.5,17103.5,0.0,0.0,39.999179077719354,39.999179077719354
S1,high,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,0,0,,,17125.75,17125.75,0.0,0.0,40.532737749212735,40.532737749212735
S2,severe,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.1875,0.8125,4,4,0.75,0.75,4538.75,4530.75,0.058333333333333334,0.058333333333333334,24.45635987407276,23.853523062190433
S2,low,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.1875,0.8125,4,4,1.0,1.0,4710.75,4668.75,0.058333333333333334,0.058333333333333334,31.767328077781713,30.356805194137344
S2,medium,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,4,4,0.75,0.75,4833.0,4833.0,0.058333333333333334,0.058333333333333334,33.258676730088894,33.258676730088894
S2,high,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,4,4,1.0,1.0,5122.75,5122.75,0.058333333333333334,0.058333333333333334,35.69259226014399,35.69259226014399
S3,severe,16,0.4516544117647059,0.0004557291666666666,0.875,0.005208333333333333,0.005208333333333333,0.75,4,4,1.0,1.0,16474.25,16483.875,0.08780232820976491,0.12053006329113923,25.57186525629633,25.624887542876934
S3,low,16,0.4516544117647059,0.0004557291666666666,0.875,0.005208333333333333,0.005208333333333333,0.75,4,4,1.0,1.0,16792.75,16802.625,0.08780232820976491,0.12053006329113923,35.46517764006041,35.5155522209954
S3,medium,16,0.4516544117647059,0.0004557291666666666,0.875,0.005208333333333333,0.005208333333333333,0.75,4,4,1.0,1.0,17201.375,17243.375,0.08780232820976491,0.12053006329113923,40.6257871271228,40.71633671207118
