schema_version,split,scene_id,role,trajectory,range,side,visibility,episode_count,seed_start,seed_end,identity_template
m8-a-proposed-corpus-v1,calibration,M8C1,critical,straight,near,left,full,3,810100,810102,m8a-cal-m8c1-{seed}
m8-a-proposed-corpus-v1,calibration,M8C2,critical,straight,near,right,full,3,810200,810202,m8a-cal-m8c2-{seed}
m8-a-proposed-corpus-v1,calibration,M8C3,critical,straight,far,left,full,3,810300,810302,m8a-cal-m8c3-{seed}
m8-a-proposed-corpus-v1,calibration,M8C4,critical,straight,far,right,full,3,810400,810402,m8a-cal-m8c4-{seed}
m8-a-proposed-corpus-v1,calibration,M8C5,critical,left_turn,near,left,full,3,810500,810502,m8a-cal-m8c5-{seed}
m8-a-proposed-corpus-v1,calibration,M8C6,critical,right_turn,near,right,full,3,810600,810602,m8a-cal-m8c6-{seed}
m8-a-proposed-corpus-v1,calibration,M8C7,critical,left_turn,far,left,partial,3,810700,810702,m8a-cal-m8c7-{seed}
m8-a-proposed-corpus-v1,calibration,M8C8,critical,right_turn,far,right,partial,3,810800,810802,m8a-cal-m8c8-{seed}
m8-a-proposed-corpus-v1,calibration,M8G1,generalization,straight,near,left,full,2,810900,810901,m8a-cal-m8g1-{seed}
m8-a-proposed-corpus-v1,calibration,M8G2,generalization,right_turn,far,right,partial,2,811000,811001,m8a-cal-m8g2-{seed}
m8-a-proposed-corpus-v1,development,M8C1,critical,straight,near,left,full,4,820100,820103,m8a-dev-m8c1-{seed}
m8-a-proposed-corpus-v1,development,M8C2,critical,straight,near,right,full,4,820200,820203,m8a-dev-m8c2-{seed}
m8-a-proposed-corpus-v1,development,M8C3,critical,straight,far,left,full,4,820300,820303,m8a-dev-m8c3-{seed}
m8-a-proposed-corpus-v1,development,M8C4,critical,straight,far,right,full,4,820400,820403,m8a-dev-m8c4-{seed}
m8-a-proposed-corpus-v1,development,M8C5,critical,left_turn,near,left,full,4,820500,820503,m8a-dev-m8c5-{seed}
m8-a-proposed-corpus-v1,development,M8C6,critical,right_turn,near,right,full,4,820600,820603,m8a-dev-m8c6-{seed}
m8-a-proposed-corpus-v1,development,M8C7,critical,left_turn,far,left,partial,4,820700,820703,m8a-dev-m8c7-{seed}
m8-a-proposed-corpus-v1,development,M8C8,critical,right_turn,far,right,partial,4,820800,820803,m8a-dev-m8c8-{seed}
m8-a-proposed-corpus-v1,development,M8G1,generalization,straight,near,left,full,4,820900,820903,m8a-dev-m8g1-{seed}
m8-a-proposed-corpus-v1,development,M8G2,generalization,right_turn,far,right,partial,4,821000,821003,m8a-dev-m8g2-{seed}
m8-a-proposed-corpus-v1,formal,M8C1,critical,straight,near,left,full,4,830100,830103,m8a-formal-m8c1-{seed}
m8-a-proposed-corpus-v1,formal,M8C2,critical,straight,near,right,full,4,830200,830203,m8a-formal-m8c2-{seed}
m8-a-proposed-corpus-v1,formal,M8C3,critical,straight,far,left,full,4,830300,830303,m8a-formal-m8c3-{seed}
m8-a-proposed-corpus-v1,formal,M8C4,critical,straight,far,right,full,4,830400,830403,m8a-formal-m8c4-{seed}
m8-a-proposed-corpus-v1,formal,M8C5,critical,left_turn,near,left,full,4,830500,830503,m8a-formal-m8c5-{seed}
m8-a-proposed-corpus-v1,formal,M8C6,critical,right_turn,near,right,full,4,830600,830603,m8a-formal-m8c6-{seed}
m8-a-proposed-corpus-v1,formal,M8C7,critical,left_turn,far,left,partial,4,830700,830703,m8a-formal-m8c7-{seed}
m8-a-proposed-corpus-v1,formal,M8C8,critical,right_turn,far,right,partial,4,830800,830803,m8a-formal-m8c8-{seed}
m8-a-proposed-corpus-v1,formal,M8G1,generalization,straight,near,left,full,4,830900,830903,m8a-formal-m8g1-{seed}
m8-a-proposed-corpus-v1,formal,M8G2,generalization,right_turn,far,right,partial,4,831000,831003,m8a-formal-m8g2-{seed}
